name,version,url
all-in-one-wp-security-and-firewall,4.4.9,
tst-atvetka,0.6.2,
cmb2,2.9.0,
cyr3lat,3.5,
easy-wp-smtp,1.4.7,
sfwd-lms,3.5.1.1,https://kurs.te-st.ru/wp-content/plugins/sfwd-lms_bc1eab85ac6e9eee68ee34d514d527f1.zip
learndash-propanel,2.1.4.1,https://kurs.te-st.ru/wp-content/plugins/learndash-propanel_bc1eab85ac6e9eee68ee34d514d527f1.zip
loco-translate,2.5.5,
posts-to-posts,1.6.6,
tps-backend-plugin,0.1.0,
wpae-acf-add-on,1.0.3,https://kurs.te-st.ru/wp-content/plugins/wpae-acf-add-on_bc1eab85ac6e9eee68ee34d514d527f1.zip
wpae-user-add-on-pro,1.0.7,https://kurs.te-st.ru/wp-content/plugins/wpae-user-add-on-pro_bc1eab85ac6e9eee68ee34d514d527f1.zip
wp-all-export-pro,1.7.2,https://kurs.te-st.ru/wp-content/plugins/wp-all-export-pro_bc1eab85ac6e9eee68ee34d514d527f1.zip
wp-crontrol,1.12.1,
wpforms-lite,1.7.3,
wp-sync-db-master,1.5,https://github.com/wp-sync-db/wp-sync-db/archive/refs/heads/master.zip
wordpress-seo,17.7.1,
